title,movie_id,averagerating,numvotes,ordering,region,year,runtime_minutes,genres,directors,id,production_budget,domestic_gross,foreign_gross,profit,genres_numeric
#Horror,tt3526286,3.0,3092,1,US,2015,101.0,Crime,Tara Subkoff,16,1500000.0,0.0,0.0,-1500000.0,0
#Horror,tt3526286,3.0,3092,1,US,2015,101.0,Drama,Tara Subkoff,16,1500000.0,0.0,0.0,-1500000.0,0
#Horror,tt3526286,3.0,3092,1,US,2015,101.0,Horror,Tara Subkoff,16,1500000.0,0.0,0.0,-1500000.0,0
10 Cloverfield Lane,tt1179933,7.2,260383,10,RO,2016,103.0,Drama,Dan Trachtenberg,54,5000000.0,72082999.0,36203423.0,103286422.0,1
10 Cloverfield Lane,tt1179933,7.2,260383,10,RO,2016,103.0,Horror,Dan Trachtenberg,54,5000000.0,72082999.0,36203423.0,103286422.0,1
10 Cloverfield Lane,tt1179933,7.2,260383,10,RO,2016,103.0,Mystery,Dan Trachtenberg,54,5000000.0,72082999.0,36203423.0,103286422.0,1
12 Strong,tt1413492,6.6,50155,10,BG,2018,130.0,Action,Nicolai Fuglsig,64,35000000.0,45819713.0,25298665.0,36118378.0,2
12 Strong,tt1413492,6.6,50155,10,BG,2018,130.0,Drama,Nicolai Fuglsig,64,35000000.0,45819713.0,25298665.0,36118378.0,2
12 Strong,tt1413492,6.6,50155,10,BG,2018,130.0,History,Nicolai Fuglsig,64,35000000.0,45819713.0,25298665.0,36118378.0,2
12 Years a Slave,tt2024544,8.1,577301,10,RO,2013,134.0,Biography,Steve McQueen,18,20000000.0,56671993.0,124353350.0,161025343.0,3
12 Years a Slave,tt2024544,8.1,577301,10,RO,2013,134.0,Drama,Steve McQueen,18,20000000.0,56671993.0,124353350.0,161025343.0,3
12 Years a Slave,tt2024544,8.1,577301,10,RO,2013,134.0,History,Steve McQueen,18,20000000.0,56671993.0,124353350.0,161025343.0,3
13 Sins,tt2059171,6.3,29550,10,HR,2014,93.0,Horror,Daniel Stamm,51,4000000.0,9134.0,38418.0,-3952448.0,4
13 Sins,tt2059171,6.3,29550,10,HR,2014,93.0,Thriller,Daniel Stamm,51,4000000.0,9134.0,38418.0,-3952448.0,4
1982,tt2388621,7.0,221,1,US,2013,90.0,Drama,Tommy Oliver,23,1000000.0,0.0,0.0,-1000000.0,5
21,tt5097012,7.2,23,1,IN,2016,98.0,Horror,Jaishankar Chigurula,39,35000000.0,81159365.0,78687064.0,124846429.0,6
23 Blast,tt2304459,6.5,1567,2,US,2014,98.0,Drama,Dylan Baker,64,1000000.0,549185.0,0.0,-450815.0,7
23 Blast,tt2304459,6.5,1567,2,US,2014,98.0,Family,Dylan Baker,64,1000000.0,549185.0,0.0,-450815.0,7
23 Blast,tt2304459,6.5,1567,2,US,2014,98.0,Sport,Dylan Baker,64,1000000.0,549185.0,0.0,-450815.0,7
3 Backyards,tt1314190,5.0,611,1,US,2010,88.0,Drama,Eric Mendelsohn,51,300000.0,39475.0,0.0,-260525.0,5
300: Rise of an Empire,tt1253863,6.2,262978,10,CA,2014,102.0,Action,Noam Murro,26,110000000.0,106580051.0,224200000.0,220780051.0,8
300: Rise of an Empire,tt1253863,6.2,262978,10,CA,2014,102.0,Fantasy,Noam Murro,26,110000000.0,106580051.0,224200000.0,220780051.0,8
300: Rise of an Empire,tt1253863,6.2,262978,10,CA,2014,102.0,War,Noam Murro,26,110000000.0,106580051.0,224200000.0,220780051.0,8
42,tt0453562,7.5,77703,10,IT,2013,128.0,Biography,Brian Helgeland,22,31000000.0,95020213.0,2450488.0,66470701.0,9
42,tt0453562,7.5,77703,10,IT,2013,128.0,Drama,Brian Helgeland,22,31000000.0,95020213.0,2450488.0,66470701.0,9
42,tt0453562,7.5,77703,10,IT,2013,128.0,Sport,Brian Helgeland,22,31000000.0,95020213.0,2450488.0,66470701.0,9
47 Ronin,tt1335975,6.3,135754,10,RU,2013,128.0,Action,Carl Rinsch,12,175000000.0,38362475.0,113354340.0,-23283185.0,10
47 Ronin,tt1335975,6.3,135754,10,RU,2013,128.0,Adventure,Carl Rinsch,12,175000000.0,38362475.0,113354340.0,-23283185.0,10
47 Ronin,tt1335975,6.3,135754,10,RU,2013,128.0,Drama,Carl Rinsch,12,175000000.0,38362475.0,113354340.0,-23283185.0,10
50 to 1,tt1777595,6.6,1739,10,GR,2014,110.0,Drama,Jim Wilson,93,10000000.0,1069454.0,0.0,-8930546.0,5
50/50,tt1734060,7.5,11,1,PL,2010,77.0,Documentary,Mika Rosenfeld,73,8000000.0,35016118.0,6318617.0,33334735.0,11
8 Days,tt3111864,5.0,102,1,US,2014,90.0,Drama,Jaco Booyens,48,2500000.0,0.0,0.0,-2500000.0,12
8 Days,tt3111864,5.0,102,1,US,2014,90.0,Thriller,Jaco Booyens,48,2500000.0,0.0,0.0,-2500000.0,12
8: The Mormon Proposition,tt1484522,7.0,1190,1,US,2010,80.0,Documentary,Reed Cowan,38,2500000.0,100280.0,0.0,-2399720.0,11
A Better Life,tt1554091,7.2,14602,10,IT,2011,98.0,Drama,Chris Weitz,84,10000000.0,1759252.0,124999.0,-8115749.0,13
A Better Life,tt1554091,7.2,14602,10,IT,2011,98.0,Romance,Chris Weitz,84,10000000.0,1759252.0,124999.0,-8115749.0,13
A Fine Step,tt1604100,5.4,279,1,FR,2014,111.0,Drama,Jonathan Meyers,18,1000000.0,0.0,0.0,-1000000.0,5
A Good Day to Die Hard,tt1606378,5.3,188383,10,US,2013,98.0,Action,John Moore,34,92000000.0,67349198.0,236900000.0,212249198.0,14
A Good Day to Die Hard,tt1606378,5.3,188383,10,US,2013,98.0,Thriller,John Moore,34,92000000.0,67349198.0,236900000.0,212249198.0,14
A Little Bit of Heaven,tt1440161,6.3,26441,10,CA,2011,106.0,Comedy,Nicole Kassell,39,12500000.0,10011.0,1090276.0,-11399713.0,15
A Little Bit of Heaven,tt1440161,6.3,26441,10,CA,2011,106.0,Drama,Nicole Kassell,39,12500000.0,10011.0,1090276.0,-11399713.0,15
A Little Bit of Heaven,tt1440161,6.3,26441,10,CA,2011,106.0,Fantasy,Nicole Kassell,39,12500000.0,10011.0,1090276.0,-11399713.0,15
A Most Wanted Man,tt1972571,6.8,67914,10,GR,2014,122.0,Crime,Anton Corbijn,76,15000000.0,17237855.0,18831035.0,21068890.0,16
