,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
0,tt1695994,Huck Botko,4.6,3696,The Virginity Hit,HU,2010,86.0,Comedy,2000000.0,636706.0,0.0,-1363294.0,-0.681647
1,tt1289419,David M. Matthews,3.6,587,N-Secure,US,2010,105.0,Crime,1600000.0,2595644.0,0.0,995644.0,0.6222775
1,tt1289419,David M. Matthews,3.6,587,N-Secure,US,2010,105.0,Drama,1600000.0,2595644.0,0.0,995644.0,0.6222775
1,tt1289419,David M. Matthews,3.6,587,N-Secure,US,2010,105.0,Thriller,1600000.0,2595644.0,0.0,995644.0,0.6222775
2,tt1120985,Derek Cianfrance,7.4,170089,Blue Valentine,HR,2010,112.0,Drama,1000000.0,9737892.0,6828348.0,15566240.0,15.56624
2,tt1120985,Derek Cianfrance,7.4,170089,Blue Valentine,HR,2010,112.0,Romance,1000000.0,9737892.0,6828348.0,15566240.0,15.56624
3,tt1116184,Jeff Tremaine,7.0,53289,Jackass 3D,US,2010,95.0,Action,20000000.0,117229692.0,54456101.0,151685793.0,7.58428965
3,tt1116184,Jeff Tremaine,7.0,53289,Jackass 3D,US,2010,95.0,Comedy,20000000.0,117229692.0,54456101.0,151685793.0,7.58428965
3,tt1116184,Jeff Tremaine,7.0,53289,Jackass 3D,US,2010,95.0,Documentary,20000000.0,117229692.0,54456101.0,151685793.0,7.58428965
4,tt1111235,Hans Rodionoff,4.6,77,Trance,US,2010,83.0,Horror,16000000.0,2322593.0,20271459.0,6594052.0,0.41212825
5,tt1106860,Stephen Milburn Anderson,6.0,8605,Ca$h,RO,2010,108.0,Crime,13700000.0,0.0,11738256.0,-1961744.0,-0.14319299270072994
5,tt1106860,Stephen Milburn Anderson,6.0,8605,Ca$h,RO,2010,108.0,Thriller,13700000.0,0.0,11738256.0,-1961744.0,-0.14319299270072994
6,tt1103153,Robert Luketic,5.4,82237,Killers,PE,2010,100.0,Action,75000000.0,47059963.0,48512786.0,20572749.0,0.27430332
